Video ID,Title,Descrption,Published At
MWfLtoRO11Y,"L12: Memory management, Virtual memory, Paging and more","L12: Memory management, Virtual memory, Paging and more In this video we will cover:- - Memory management - Virtual memory ...",2024-12-31T13:30:19Z
WDgXWVFXCvk,Time management &amp; Productivity 🔥  | A weekend in the life of a software engineer,Time management & Productivity | A weekend in the life of a software engineer Here in this video I would be talking about the ...,2024-12-25T12:30:25Z
3a_975R-Wjo,"EP31: Complete Expense Tracker, React Native, Java, Spring boot, Kafka, MySQL, AWS | Backend mastery","Complete Expense Tracker App | React Native, Java, Spring boot, Kafka, MySQL, AWS | Backend mastery In this video we have ...",2024-12-20T13:30:03Z
le9MmK1XZvE,Complete SQL Roadmap | Master SQL in a week,Complete SQL Roadmap | Master SQL in a week In this video we will look at how you can master SQL quickly - How to properly ...,2024-12-16T13:30:32Z
KL4vIJ4wl2I,MERN stack roadmap for beginners | Master with Projects,MERN stack roadmap for beginners | Master with Projects In this video we will be looking at how beginners can master MERN ...,2024-12-10T13:30:12Z
iP-OqsrD8AU,Write your own USB Driver | Device driver in C,In this video we will be writing our USB driver in C programming language. It is a part of our ongoing playlist:- Applied operating ...,2024-12-05T12:30:46Z
Qjfxebl1804,Guaranteed Placement roadmap | No more time waste,This video is for the people who are starting to prepare or haven't started yet. We will go through the bits and bytes of building ...,2024-11-30T12:30:31Z
ebZrc9lk87s,"EP30: Deploying all backend services with load balancers, security groups on AWS | Backend Mastery","Deploying all backend services with load balancers, security groups | Applied AWS | Backend Mastery In this video we are gonna ...",2024-11-22T12:30:37Z
ULp11P_GF7I,"L11: I/O softwares, drivers, deadlock, memory management, BIOS","L11: I/O softwares, drivers, deadlock, memory management, BIOS This video is a must video if - you are planning to make low ...",2024-11-19T12:30:32Z
sJ2sjbm3T0s,Taking a break from coding | Workation in Kerala | Chill Vlog,Taking a break from coding | Workation in Kerala | Chill Vlog This vlog is to remind everyone that you can take break after doing ...,2024-11-15T12:30:46Z
Gmv9_zxImvw,Bina tutorial dekhe project kese bnayen? motivation kese layen and more...,Bina tutorial dekhe project kese bnayen? motivation kese layen and more... This video is for the people who say:- - I am not able ...,2024-11-10T12:30:12Z
VC6acZjIvvg,"Assignment hiring, Project hiring | Do this to get hired in 2025 | My Honest take",Do this to get hired in 2025 | My Honest take In this video we will take about - What mistakes freshers are making while ...,2024-11-02T12:30:21Z
